Ref_DOI_number,Perovskite_composition_short_form,Perovskite_composition_long_form,EQE_integrated_Jsc,JV_default_Voc,JV_default_Jsc,Perovskite_band_gap
10.1007/s00339-019-2383-5,MAPbI,MAPbI3,22.4,1.0,24.0,1.55
10.1021/acsami.7b16312,MAPbI,MAPbI3,22.4,1.025,22.31,1.6
10.1007/s10853-019-04145-9,MAPbI,MAPbI3,22.4,0.997,22.45,1.6
10.1039/c8ta11361k,MAPbI,MAPbI3,22.4,0.98,22.34,1.6
10.1039/C7QM00221A,MAPbI,MAPbI3,22.4,1.09,22.8,
10.1016/j.carbon.2019.01.105,MAPbI,MAPbI3,22.4,1.061,21.68,1.6
10.1002/admi.201801976,MAPbI,MAPbI3,22.4,1.05,22.36,1.6
10.1016/j.orgel.2018.05.030,MAPbI,MAPbI3,22.4,1.078,22.68,1.6
10.1039/c9ta08791e,MAPbI,MAPbI3,22.386,1.08,22.808000000000003,1.6
10.1039/c8ta11361k,MAPbI,MAPbI3,22.38,0.95,22.34,1.6
10.1007/s11426-018-9432-x,MAPbI,MAPbI3,22.35,1.11,23.93,1.6
10.1016/j.isci.2019.10.021,MAPbI,MAPbI3,22.35,1.146,23.42,1.6
10.1016/j.nanoen.2018.11.004,MAPbI,MAPbI3,22.35,0.79,21.2,1.6
10.1007/s11426-018-9432-x,MAPbI,MAPbI3,22.35,,,1.6
10.1002/aenm.201501773,MAPbI,MAPbI3,22.33,0.88,23.48,1.56
10.1002/aenm.201602120,MAPbI,MAPbI3,22.32,0.85,22.68,1.6
10.1002/solr.201900191,MAPbI,MAPbI3,22.3,0.108,20.4,1.6
10.1021/acsenergylett.9b00608,MAPbI,MAPbI3,22.3,1.15,22.7,1.6
10.1039/c7ta02317k,MAPbI,MAPbI3,22.3,1.1,23.2,1.59
10.1002/cplu.201700471,MAPbI,MAPbI3,22.3,1.086,22.73,1.6
10.1016/j.solmat.2017.01.013,MAPbI,MAPbI3,22.3,0.94,24.9,1.6
10.1039/c8cc03672a,MAPbI,MAPbI3,22.3,1.015,22.15,1.6
10.1021/acs.jpclett.7b02160,MAPbI,MAPbI3,22.3,1.09,22.75,1.6
10.1021/jacs.7b01439,MAPbI,MAPbI3,22.3,1.12,22.3,1.6
10.1002/solr.201800264,MAPbI,MAPbI3,22.3,1.008,22.44,1.6
10.1002/cplu.201700471,MAPbI,MAPbI3,22.3,1.078,22.89,1.6
10.1021/acsami.9b06933,MAPbI,MAPbI3,22.3,1.09,23.22,1.6
10.1021/jacs.9b08424,MAPbI,MAPbI3,22.3,1.08,22.9,1.6
10.1002/chem.201804799,MAPbI,MAPbI3,22.3,1.08,23.34,1.6
10.1016/j.electacta.2019.135197,MAPbI,MAPbI3,22.28,1.09,22.35,1.45
10.1016/j.solmat.2017.03.028,MAPbI,MAPbI3,22.28,1.08,21.02,1.6
10.1002/aenm.201800399,FAMAPbI,FAMAPbI3,22.28,0.97,23.59,
10.1039/c6ta08970d,MAPbI,MAPbI3,22.28,0.94,21.71,
10.1002/solr.201900499,MAPbI,MAPbI3,22.27,0.88,19.51,1.6
10.1002/adma.201703236,MAPbI,MAPbI3,22.25,1.07,23.32,1.6
10.1002/aenm.201700749,MAPbI,MAPbI3,22.24,1.111,22.46,1.6
10.1016/j.nanoen.2018.07.063,MAPbI,MAPbI3,22.23,1.08,22.68,1.55
